Title,PID
"Trott, Nicholas",reed:ef540bf7-de70-40b6-a1aa-bb1532b16108
"Buttre, Henry",reed:dddd9463-318c-437d-9fef-a3e72a4bff49
"Rose, Tobias",reed:c4e02861-60cd-41cb-9e12-1a704607c0c5
"Maynard, John",reed:533c804c-0c12-4f3b-b1ce-fa81112aaf7a
"Guydott, Kellaway",reed:d892c29d-c569-4ec9-bd1d-caed8dae6abf
"Palmer, Thomas",reed:d678df60-0ba2-4142-b466-b4da2281e8fd
"Stanfort, John",reed:13b64e3c-7ada-4224-8fa2-4c60e7eb3c3e
"Bradbury, …",reed:76b1dc1a-fce2-4120-951f-ae7be17491eb
"Ellis, William",reed:2d922060-c257-4931-ac84-7c53fb25825d
"Strong, Roy",reed:d33b75d6-5a5c-4142-9437-b60d3298cf14
"Clowych, …",reed:ff203b08-875a-4ba2-8ded-73388d0e8162
"Shyrlock, ...",reed:174959d5-0c64-4222-a6dc-073ca1afc744
"Brerewood, Robert",reed:b0a18514-c1b1-4c95-9f00-0f643074d83d
"Styles, Thomas",reed:5c8e4a82-41cf-4613-988b-dedf6c6f4afa
"Parker, Brian",reed:95454ca2-6ce3-4f65-89e9-c36ab1647ebd
"Mansbridge, Thomas",reed:3f1d1493-4249-4ad4-b7f1-fcba351e305c
"Speed, John",reed:499d6160-07ee-4623-84d6-5295c9772fe7
"Cotton, Robert",reed:8b56e019-9f9a-4176-a6ec-f939cafa651f
"Skeirne, John",reed:050f9a23-41c7-4200-84dd-7d07b67c45f6
"Paylor, John",reed:f305ef2b-6e93-4b66-8d68-6e35792bac16
"Wakering, John",reed:0b7c0ce2-c304-4fc1-9507-2908175782b7
"Becher, William",reed:e7bdf143-3f85-49d2-a096-5dc56e4c2c8b
"Herne, John",reed:d97b844c-1b92-44ae-9180-efe8e8451fa0
"Hill, William",reed:c93c0f12-94e3-4005-b4c3-5b80f486433e
"White, Thomas",reed:e3b2b4b2-6b48-4240-a4f4-dfa9a0ba2e2d
"Pope, William",reed:66fa9a11-365e-4f4b-9feb-dd3ff3fb1e31
"Bastard, Francis",reed:ea96e7d7-799d-4730-b309-e3479f7a74c7
"Pittes, Thomas",reed:34446229-7172-4d10-810b-ac4a3ef08714
"Haye, John",reed:947a5f51-41b2-4ffd-9c80-b59b995b4b64
"Pepys, Thomas",reed:75ebe098-af28-4f2c-be9c-7453afed0941
"Orsini, Virginio",reed:2438c683-9ef0-4a56-b0ad-3cbac7a6e1ba
"Grantham, Thomas",reed:6c01a0f4-7ada-45b7-8587-78b720dd730d
"Fanshawe, Thomas",reed:14fdd374-324d-4dbb-8ea0-ed808722f0b7
"Gates, Geoffrey",reed:96f64382-f862-4ec9-bef4-0921e723e6a0
"Calybutt, Francis",reed:a523a060-74b2-4ea7-84fd-63dd875c8977
"Piggott, John",reed:b6fca4d2-3a79-43a9-a66e-3616d09a5bb8
"Godball, William",reed:926569e8-f221-4236-97f4-002ec40f544a
"Beriff, William",reed:a8cbfa40-b77b-497c-a774-2ec3e152dda9
"Davies, Thomas",reed:05135377-4ed1-4db8-ba26-c61ee6592209
"Statham, Nicholas",reed:e89ec95c-4f57-48f1-863e-1d8f173efaee
"Kinwelmersh, Francis",reed:46941282-893e-48b1-9514-b9ed0abd2cdb
"Douthwaite, William Ralph",reed:acaa68bf-e5e2-49d5-a47e-570bf93693b0
"Pakington, John",reed:d32cf716-aac3-46b5-aad4-d670bae0f884
"Whitley, Richard",reed:c6915a7e-dab4-4b84-a182-73a2032a5e87
"Glascott, Philip",reed:d5f973e5-f8b0-4408-85ab-1dcc9d9bb914
"Pettye, John",reed:e2434dda-6883-4694-92c4-381a6a67a39e
"Gage, Anthony",reed:31349cf5-c5da-4b0c-8c2b-9d49182c1717
"Munday, …",reed:22b624c3-1a8e-403b-8959-75e46e034c45
"Hatton, Elizabeth",reed:b76f73b8-c494-44c0-9bc9-a61faa175275
"Elizabeth I",reed:4f8027fb-e9fa-436a-a60c-ae85e41cb6cd
"Nash, Thomas",reed:90c86994-6d3f-43d4-ab73-29dd8bba8f76
"Buckworth, William",reed:303e59cc-3530-40fd-840e-f5fe70ee2544
"Pelham, Edmund",reed:e2714f9f-f5bb-42c3-9279-70172551a01f
"Thursby, Henry",reed:397bec4b-1368-4f1e-b59c-388c7a28dc78
"Ashbee, Andrew",reed:949e8038-3f5c-4a77-9320-500a5a9b9272
"Heath, Edward",reed:4c3af951-6a5b-48b3-8215-61b05060208c
"Herne, Giles",reed:0224a91c-a3f5-4b58-ac5b-6db75443c87b
"Hickes, Michael",reed:8508b47b-3a3b-4856-92b0-68aaf999259d
"Shute, Robert",reed:6b1fd9ea-e214-4216-9e44-64c1448df1ca
"Blythe, William",reed:17bc3de6-9dca-4dd3-9b9a-7d5a1c40cc9b
"Jewell, William",reed:a8b300a1-e983-4e4a-9c0a-f2957d808ab8
"Colman, Edward",reed:d1800f51-c8a6-42d0-8443-021ff9e340b8
"Field, Nathan",reed:9b634d3e-9e52-40e9-b19b-030a9835ee85
"Rothwell, William",reed:318173c2-a32a-442b-8658-543653963b4f
"Bowne, Abraham",reed:fbfccee9-d1fc-478a-bf0a-0970271aadde
"Dixie, Thomas",reed:c8466838-089a-4405-953b-c9cfcf9a8539
"Hendon, Edward or Edmund",reed:e3e0207f-4a80-4a8a-99fe-ed98e66af198
"Walgrave, William",reed:7bd333d6-145f-44ae-8028-83da83249ccd
"Pottes, Thomas",reed:b975f549-577f-47df-85f1-e935908a5d1c
"Rutter, Abraham",reed:296e716d-1adb-4234-98dd-07437ab5ea3b
"Rede, Leonard",reed:302fac0f-ca5b-423f-bd8e-1722ad7e404e
"Low, George",reed:da37a2f7-d393-4fd0-8545-d8d92bba1a79
"Altam, Edward",reed:452a0f33-489b-4397-8a12-0af0a49caa78
"Hibbard, ...",reed:af727f70-9c07-4f62-9ced-0fda3df20d82
"Barker, …",reed:e8a0a9b1-0d29-4140-b5b5-10c2419c5914
"Margaret, Duchess of Burgundy, Margaret",reed:c2832c3e-a3c8-4af3-b6e0-d2e7de7bc8ee
"Windsor, Henry",reed:ea6e5ced-b3c4-469a-8783-aabd901ec7f5
"Rolfe, William",reed:3f86ea21-dbb7-4789-aa79-2625ad738969
"Revell, Roger",reed:42a34d61-0483-4bd8-95f8-82a9ad2e60f1
"Buller, George",reed:2097aa9e-1548-4dfc-887b-beced1e82faf
"Macsey, Henry",reed:da520654-98b0-46bc-813a-2fb4a11e12b2
"Morgan, …",reed:6e3679ec-8fd2-4ef9-af38-668f817dca45
"Shreche, …",reed:3a1a2b79-4b3d-40bd-90ad-28026a295c02
"Sonnyff, ...",reed:90ffb75b-2284-4c91-a40e-71472aa88921
"Taylor, Robert",reed:8a0104ce-c292-4c66-83c7-0f2903b62e2b
"Dracottes, ...",reed:7ee3365e-a10b-4ee2-91d1-766205f600c7
"Sherard, ...",reed:f8d283f1-5c1a-472d-bf8d-052c7ee9a4f6
"Conyngisby, …",reed:842246b8-6dcb-49e9-977d-46d0e970e905
"Owen, Robert",reed:55091daa-4443-4985-9a21-3edb071805c5
"Maunsell, Philip",reed:a9b09f6c-65a9-454a-9a5a-7b559ad2b4df
"Danester, John",reed:b6a526e3-af87-432f-b22c-620c13bda74a
"James, Henry",reed:db36fa28-1fe6-493d-8ea8-8b28364a459b
"Willoughby, …",reed:79767314-287a-4a17-90f6-723f5bb5fc75
"Wyseman, William",reed:496ff2e9-8a20-4c89-84d4-bc4b695dde59
"Wentworth, Philip",reed:bbc039ef-3168-4c0b-aaec-7b510fb15a9d
"de Vere, John",reed:4a494562-5145-48dd-9da2-592734065fb4
"Wotton, William",reed:46b2914e-929f-40af-aae6-dd85df34acf7
"Wandforde, Richard",reed:910a6455-7c30-43c4-819a-88770cc46b27
"Rich, William",reed:bab0d812-6f62-4975-bcaf-06b922804a15
"Goosey, Richard",reed:08cb7b1b-211d-483d-805b-cd3b26de57d3
"Caron, Noel",reed:d9e20431-6301-4f3c-99d5-af2c072b1763
"Hughes, Hugh",reed:8a989eeb-b620-4002-88bf-1b5982834ba0
"Howard, Thomas",reed:81b94252-85db-4bb8-bf58-095975bce47d
"Keilway, Robert",reed:44984312-5b20-4458-a209-98b24ea2fa8c
"Cecil, Robert",reed:f2c39600-3a16-47eb-b395-636e1312de10
"Jugleger, Robert",reed:d4bd4fff-22d8-4e0a-99db-6fe1318aa10c
"Povey, John",reed:20e94a48-0bfd-4be1-907e-fcc4db7f7e4b
"Brereton, Peter",reed:dcae3071-1dbe-48d0-bb68-dea7676e1aeb
"Lister, John",reed:1e4f8b95-4357-4635-a965-2887a2bac004
"Lancaster, …",reed:d5fef8c9-4918-422d-854d-bf702efb701e
"Southcott, John",reed:25215a5f-8fb3-4d95-bbba-612711e64156
"Richardson, Thomas",reed:6a6e6f4c-d46a-4c39-8b18-fcdac04399a7
"Richardson, Walter Cecil",reed:38146fbd-66cf-44bd-818f-98b8c49d12a4
"Southwell, Francis",reed:6fdec970-cb44-4028-8b6a-fb5f93cde2b6
"Briggs, Rowland",reed:e2f1ccdc-f4a4-41af-aa91-ae40f69c2cb6
"Dodmer, John",reed:142d4049-755c-4931-8b1a-6afaeb866c0e
"Mouton, Jean",reed:a97c3574-a69e-45ac-97b5-53eacd60e754
"Bell, C.F.",reed:d7465b44-46fc-4382-a6db-5b17ecb95790
"St John, James",reed:2d3bec8c-1fdd-46f3-8315-8a66510192f2
"Vowell, …",reed:3881626d-49da-4300-95bb-de0eadac7c99
"North, Roger",reed:5e6a2388-0a93-4c45-b4fd-a308c5a49ad7
"Heydon, Richard",reed:89ce0d91-0d28-4b82-800b-1666dc3a4edb
"Gryffyth, Nicholas",reed:1f59948f-24c9-4d46-810c-58e593101bac
"Perkinson, Christopher",reed:3a2dbe48-a9a2-4581-893a-84cf58b12484
"Pepys, Samuel",reed:75285e47-15db-49b3-a5b4-e771593d8588
"Walrond, James",reed:a89bda6a-6599-43f0-a5fb-3d3732fffd10
"Dutton, Laurence",reed:26aca724-6009-4693-bb5f-828667726a8f
"Lany, Aslacke",reed:01fc0142-2c8b-421d-85df-8699379170a8
"Denny, Thomas",reed:692bcb99-d747-4387-ad29-4da95336a905
"Stuart, Esmé",reed:6aff5212-4dc7-49fd-b8ce-564bd91e76c1
"Donne, John",reed:ed890ecc-e945-4014-85e8-61ca6dc850f2
"Doughtie, Thomas",reed:317b260f-f4a3-448d-a412-182df62fed6a
"Whitfield, Ralph",reed:6da783ad-bc2e-4e24-ac93-3722b3fe7d40
"Rawley, George",reed:a4a7de87-c512-42b3-a0c9-0a0fefc2e674
"Stuteville, Martin",reed:b2442175-664e-4215-a24f-672486d6616b
"Lancaster, John",reed:963811cf-7d6f-442a-89b6-76dfb3e9e937
"Scott, Edward",reed:2b699766-f8e9-49c0-a231-2e9e8bb48862
"Plunket, ...",reed:57cd9c55-9c8d-4269-b978-49ec16439800
"Ker, Robert",reed:c69ee78f-9d33-433c-a3f5-93fe46d75f6c
"Bramston, John",reed:b514749b-2f68-4eb0-a78c-f82a9d2d6edb
"Hobart, Henry",reed:f51598a8-683f-4e16-8ecb-fc7991da314f
"Fremyngham, Clement",reed:fa9900b6-e722-4e85-941a-f7752b1ae125
"Ryves, John",reed:cd3a2c6d-b6d1-4abd-8ede-77b8f53bd3af
"Turner, Christopher",reed:e7e3f82b-4940-4dd3-87ee-151ee1cf5323
"Brickett, John",reed:04675115-64cd-426e-a119-b976d76fe02b
"Parsons, John",reed:1d218ebd-9b39-43ac-992c-4d7a37497fc2
"Rogers, Henry",reed:036f34dc-4ded-48c3-b2d8-b64266312768
"Plat, Hugh",reed:94755595-19f3-460e-83d9-a5c5805cdcf2
"Mildmay, Frances",reed:48e2717e-a598-4a95-ba79-2f8af3cc5d28
"Staveley, William",reed:0fb38d7d-70e5-48c2-a9f5-1f268e95659d
"Dekker, Thomas",reed:a60f6294-a86c-4035-9f64-df2e3349e19c
"Lychefeld, ...",reed:f8063955-aa43-4661-b429-0e4a4722d8ff
"Douglas, William",reed:900e8cce-1218-4e8f-a73a-6d0f59a38307
"Jubbes, Thomas",reed:e4144fc0-9abd-42dd-bbb7-4e766da86c37
"Jones, Judith",reed:95477af1-7a28-435a-986e-cbfef6b022ce
"Thornton, John",reed:9a40bf21-f68c-453d-843f-46c714fbd573
"Pincombe, Michael",reed:ce280bb7-a8cb-40cd-bdf1-068bd994ecd5
"Fisher, Edward",reed:da36531d-fd25-42b6-a8a7-d8e2065e07fb
"Keble, John",reed:11ef7f03-98a4-4fc2-b45c-48fc27eb0b1d
"Woodhouse, Thomas",reed:07c5153d-6f98-4f76-b6c4-2461cfc874a4
"Fitzsymond, John",reed:9bb886b5-bbf7-426b-b182-d33682b411c7
"Mede, Joseph",reed:83f5675d-eb59-414c-9cc5-bc084acfde4d
"Fulkes, Peregrine",reed:b9371048-4d2e-4517-a4f0-f97347797a69
"Maria, John",reed:9329454f-ee02-439c-90c7-e942de9999a4
"Haddon, …",reed:d0d7359c-bcbe-49ff-9f5d-6bab32d81913
"Ravenscroft, William",reed:e2ab0f54-fc55-4103-8eee-5041a5c77478
"Jackson, William",reed:eb2f5ff8-48b9-46a0-a75e-ebcb57d238da
"Bowes, Robert",reed:7b2691e8-e781-4fc8-b2f5-51944524bb04
"Whetston, Francis",reed:b58d98a3-6acc-4fc6-805f-ebc7999e6389
"Bush, Ralph",reed:b8b784f4-b4d0-4612-806e-3ca073b6210f
"Basing, John",reed:8f2b720a-d0d0-4aa7-bc1f-870aecab2970
"Davies, Ralph",reed:66a5694e-1be3-458b-9560-7286491d8e81
"Onby, John",reed:78d3223f-c187-4ac9-ad12-81a361506219
"Mills, John",reed:6c5897e7-820e-4ce1-b7bd-a06cf6c54661
"Coventry, Thomas",reed:622e10d2-b186-4ba3-a629-5a0aed608690
"Heminges, William",reed:681d9914-6f58-439e-96f7-849db9bd19e2
"Brograve, Simeon",reed:8c09ec79-e37d-43c3-8f04-836fbeb5b4c7
"Lovel, Robert",reed:c137f1ac-f825-4f58-b87a-f132108dc73c
"Audley, Hugh",reed:500fee9b-388d-429a-98e8-b6ebd94643c0
"Middelton, William",reed:54272c7e-aa4b-43a8-a189-fbda222fdaf6
"Gold, Henry",reed:9d380693-d3f5-457e-9a17-7333b5c09091
"Lewes, Henry",reed:adfaab31-775f-4d2a-b779-997f880d2987
"Noke, Thomas",reed:bec1435f-2e9d-41ce-bd21-6295fcadf0c8
"Yong, Bartholomew",reed:daf62b49-3841-48c6-bab3-7c45e672eb22
"Spurling, James",reed:d06e8cff-6dd0-49e2-aff8-ef6d03a61efb
"Lando, Girolamo",reed:0eb611ce-196b-4b89-bd19-d7a304b230dd
"Porter, Arthur",reed:ab40023f-da06-420d-9131-5edde5c7548d
"Dawtrey, William",reed:e1f4d75e-7bcc-4789-973b-2a884f0adc07
"Williams, John",reed:3d2f9240-ff10-4840-9489-239d7c7d3a3e
"Strode, John",reed:0ed6c913-a37c-47d0-bbec-c8b0b6c02f3f
"Plowden, ...",reed:11b4b4ba-00e5-40f0-b585-f9b09f77c6ad
"Westley, …",reed:3e31ab69-5758-4515-9b57-c42a4227e1f3
"Gawdy, Framlingham",reed:46cd2188-9b29-42ed-8c88-bb09af7dcfdd
"Montagu, Henry",reed:e7136530-54d7-45e7-a84e-5811d71f1724
"Hamond, Lawrence",reed:811bff05-6d98-4cfa-b562-0dd3d0c13b25
"Johnson, Robert",reed:7bce3fa7-15a7-4090-824c-24cf2518a2fc
"Albany, Francis",reed:54f26ce8-68b4-4832-9cea-3245c1dcbcce
"Amy, John",reed:e85aacb8-f67f-4125-b679-d4676e59a3f4
"Bartlett, Edward",reed:da627142-7668-4dde-9642-01952c91c5d3
"Cobb, William",reed:23c05064-9e8d-4dd9-bf21-12fa8b18b775
"Talbot, Thomas",reed:f36ed749-e30b-4615-85fe-8e5bd0052691
"Stuart, Henry Frederick",reed:488d2ac0-76d3-4fde-9e83-f0c27311ed0d
"Foscarini, Antonio",reed:cc8af01d-a0ab-4e76-9b86-b58cb84112d4
"Jenney, Edmund",reed:e7a27db9-9070-4bb6-9de7-52e65dcaf7ff
"Farwell, John",reed:a1049459-9007-4d9b-b192-9117f9cb7aca
"Bellyngham, John",reed:3e3dd5a9-e463-47a1-b257-a238f7fc9978
"Pyne, John",reed:4d021b18-7d84-42de-9519-bf1fcedcaa71
"Johnson, Matthew",reed:50a6e7cc-888f-4e1e-95c8-d3b7f6598d19
"Bold, Thomas",reed:7301852d-cbc5-458d-b733-1f9bd8b045f1
"Welby, …",reed:851ffc3a-2b99-4c8d-8e01-9c95005ba346
"Clifford, George",reed:8e297c5b-2f29-4d30-bf08-ed947599329d
"Dudley, Robert",reed:37e781e3-d34e-47e1-bab0-cfcbdaf279c9
"Digges, Dudley",reed:9ba8ab46-39a8-4b22-896a-6b0267429462
"Skinner, William",reed:04cd4987-b3a3-4c3b-89e8-7c4c3b4f1ddb
"Wandforde, William",reed:6399674e-cb4a-42f9-894e-2f5938fbdccf
"Muskett, Simon(?)",reed:18e065df-7fba-444d-a6f6-3a6eb065019d
"Montfort, Thomas",reed:39da3068-ab70-4287-8065-19f9ca46e936
"Fulbeck, William",reed:1ccc4c0f-2a2f-4c7a-967d-e0eeaeeacb50
"Parker, Martin",reed:19294f22-6893-49ec-9292-1e29d1e0aa36
"Cokayne, Aston",reed:81dc8ee3-7c25-4b59-becc-198c79bdacb9
"Davies, John",reed:50c8d731-fbe7-47e6-8e70-821145e96774
"Cesar, Robert",reed:a007c606-6505-4f9b-99b7-0333f827c94e
"Scevington, William",reed:d552531e-1088-461a-b02f-f57b75410804
"Hasilwode, ...",reed:1c675386-c797-4174-a5c6-01f3e961b45c
"Castell, William",reed:41cc0bb7-9679-411c-8ccb-7e6cd30128b7
"Norden, John",reed:dd173250-fd21-44da-8d81-e65365f7422b
"Bowyer, John",reed:22b26f8c-9973-4428-9a32-33fbd595a016
"Trevor, John",reed:849b2a15-a105-43ae-b848-a38f39e42e97
"Nedd Palmer",reed:ba66cf64-e1dd-4a64-8248-80bf8fd911d2
"Drury , Henry",reed:805a487d-14a8-4609-bf85-3deefb4cef66
"Carleton, Dudley",reed:3fde83cf-f911-4e9e-b4c2-a7a50ea0267b
"Littleton , Thomas",reed:59b7965d-0480-4cbe-b194-dccf2e58ba0d
"Middleton, Thomas",reed:6519722c-b2e2-4d02-856b-6c04be60b202
"Finkelpearl, Philip Joseph",reed:0518c454-680c-4587-b219-c08c6064135d
